번호_시군구명,업체명,소재지,신고일자,근로_수의사수
136 구미시,봉곡동물병원,경상북도 구미시 봉곡동 433번지 6호  ,2013-03-06,1
137 구미시,늘푸른 동물병원,경상북도 구미시 도량동 316번지  ,2012-01-09,1
138 구미시,오태동물병원,경상북도 구미시 오태동 742번지 1호  ,2011-12-29,1
139 구미시,구미옥계동물병원,경상북도 구미시 옥계동 739번지 1호  ,2010-04-07,1
140 구미시,강남동물병원,경상북도 구미시 원평동 1060번지 14호  ,2006-12-26,1
141 구미시,구미칠곡축산농협동물병원,경상북도 구미시 선산읍 교리 422번지 14호  ,2005-06-17,1
142 구미시,인동동물병원,경상북도 구미시 인의동 836번지 2호  ,1997-04-08,1
143 구미시,한솔동물병원,경상북도 구미시 선산읍 이문리 86번지 8호  ,2000-09-08,1
144 구미시,신세계동물병원,경상북도 구미시 송정동 463번지 4호  ,1996-03-13,1
145 구미시,산동가축병원,경상북도 구미시 장천면 상장리 886번지 1호  ,1964-06-27,1
146 구미시,금오동물병원,경상북도 구미시 원평동 964번지 225호  ,1994-10-19,1
147 영주시,경동가축병원,경상북도 영주시 하망동 249번지 8호 14통 3반  ,1993-12-09,1
148 영주시,하동물병원,경상북도 영주시 하망동 334번지 30호  ,2011-02-27,1
149 영주시,풍기동물병원,경상북도 영주시 하망동 422번지 46호  ,1984-05-03,1
150 영주시,영주동물병원,경상북도 영주시 영주동 528번지 13호  ,1983-07-15,1
151 영주시,김대진동물병원,경상북도 영주시 영주동 505번지 1호  ,2003-08-14,1
152 영주시,동은동물병원,경상북도 영주시 영주동 480번지 10호 27통 3반  ,2008-09-22,1
153 영주시,보람동물병원,경상북도 영주시 휴천동 709번지 44호  ,2007-10-17,1
154 영주시,영주축협동물병원,경상북도 영주시 가흥동 885번지 2호  ,1999-11-25,2
155 영주시,청아동물병원,경상북도 영주시 휴천동 642번지 985호  ,2002-03-06,1
156 영주시,한우리 동물병원,경상북도 영주시 하망동 252번지 15호  ,2012-05-01,1
157 영주시,마리동물병원,경상북도 영주시 가흥동 1584번지 2호  ,2012-06-04,1
158 영주시,안정현동물병원,경상북도 영주시 휴천동 653번지 14호  ,2012-08-08,1
159 영주시,수동물병원,    ,2015-02-24,1
160 영주시,국립공원공단 국립공원연구원 생태보전실 중부보전센터,    ,2015-10-14,1
161 영주시,준동물병원,    ,2016-03-09,2
162 영주시,한성동물병원,    ,2017-02-17,1
163 영주시,신세계동물병원,    ,2017-04-10,1
164 영주시,도담동물병원,경상북도 영주시 가흥동 465번지 10호  ,2019-07-16,1
165 영주시,장동물병원,경상북도 영주시 휴천동 642번지 985호  ,2019-11-01,1
166 영천시,미래연합동물병원,경상북도 영천시 금호읍 교대리  ,2009-05-28,1
167 영천시,양수의과병원,경상북도 영천시 야사동 293번지 8호  ,2005-06-28,1
168 영천시,한솔동물병원,경상북도 영천시 문외동 258번지 2호  ,1999-05-27,1
169 영천시,영천동물병원,경상북도 영천시 문내동 121번지 2호  ,2011-06-17,1
170 영천시,영천축협동물병원,경상북도 영천시 문외동 40번지 29호  ,2005-06-23,1
171 영천시,성 수의과병원,경상북도 영천시 성내동  ,1996-05-11,1
172 영천시,대운 동물병원,경상북도 영천시 화룡동 282번지 4호  ,2011-12-30,1
173 영천시,우리동물병원,경상북도 영천시 완산동 994번지 62호  ,1995-07-15,1
174 영천시,대관령가축병원,경상북도 영천시 완산동 891번지  ,2005-06-28,1
175 영천시,제일가축병원,경상북도 영천시 완산동 982번지 8호  ,1998-10-28,1
176 영천시,경민동물병원,경상북도 영천시 도림동 709번지 1호 외 1필지(709) ,2012-02-27,3
177 영천시,누리동물병원,    ,2016-05-03,1
178 영천시,알프스동물병원,    ,2016-10-05,1
179 영천시,우진동물병원(출장진료전문병원),경상북도 영천시 성내동 146번지 1호  ,2017-01-26,1
180 영천시,팔공동물병원(출장진료전문),경상북도 영천시 금호읍 교대리 104번지 2호  ,2017-12-11,1
181 영천시,별빛동물병원,경상북도 영천시 북안면 임포리 244번지 범진아파트 ,2019-05-03,1
182 영천시,온누리동물병원,경상북도 영천시 청통면 치일리 8번지 4호  ,2021-03-08,1
183 영천시,한마음동물병원,경상북도 영천시 금호읍 교대리 38번지 3호  ,2021-09-02,1
184 상주시,함창가축병원,경상북도 상주시 함창읍 구향리 128번지 4호  ,1963-08-01,1
185 상주시,청리가축병원,경상북도 상주시 청리면 원장리 868번지 1호  ,1973-03-03,1
186 상주시,백두동물병원,경상북도 상주시 공성면 옥산리  ,2009-02-03,1
187 상주시,모서동물병원,경상북도 상주시 모서면 삼포리 254번지 3호  ,1976-05-10,1
