식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
467087,죠인쉐프뉴욕(부산다대포점),부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467092,모모스테이크(다대포점),부산광역시 사하구,N,Y,N,N,N,Y,,,N,N,N,,,,,,,,N,N,N,,,
467109,이디아커피,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467112,버무리떡볶이(다대점),부산광역시 사하구,Y,N,N,N,Y,Y,,매일 11:00~22:00,N,N,N,,,,다대포 해수욕장,35.0463817,128.968006,426.487661,N,N,N,,,
467152,아비앙또 카페,부산광역시 사하구,N,N,N,N,N,N,,,N,N,Y,,,,,,,,N,N,N,,,
467641,꼬치7942,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467642,갈매기브루잉(광안본점),부산광역시 수영구,Y,Y,N,N,Y,Y,,,N,N,N,"전화예약,온라인예약",네이버,https://www.instagram.com/galmegibrewing_gwangan,,,,,N,N,N,,,
467643,모두랑바이츠,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,황령산관광지,35.1558404,129.100365,537.488761,N,N,N,,,
467646,마노,부산광역시 수영구,Y,Y,N,N,N,Y,,"평일 17:00~24:00, 주말 12:00~24:00",N,N,N,전화예약,,http://blog.naver.com/mano_winebar,광안리 해수욕장,35.1537687,129.118499,253.99006,N,N,N,,,
467648,무한장어,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467649,비에이치씨(남천점),부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467650,맛있는와인이야,부산광역시 수영구,N,Y,N,N,Y,N,,매일 18:00~01:30,N,N,N,전화예약,,http://blog.naver.com/sayjoosee,광안리 해수욕장,35.1537687,129.118499,449.498573,N,N,N,,,
467653,왕코등갈비,부산광역시 수영구,N,N,N,N,N,N,,매일 17:00~24:00,N,N,Y,,,,,,,,N,N,N,,,
467654,삼삼막창,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467657,황금온족발,부산광역시 수영구,N,N,N,N,N,N,,매일 15:00~24:00,N,N,N,,,https://m.blog.naver.com/cariman2000/222356893491,광안리 해수욕장,35.1537687,129.118499,536.84086,N,N,N,,,
467659,술이술술,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467661,이여사 하동식당,부산광역시 수영구,N,N,N,N,Y,N,일요일,"매일 08:00~17:00, 매일 17:00~24:00",N,N,N,전화예약,,,광안리 해수욕장,35.1537687,129.118499,638.478204,N,N,N,,,
467662,비턴,부산광역시 수영구,N,N,N,N,Y,Y,,매일 00:00~24:00,N,N,N,전화예약,,,,,,,N,N,N,,,
467663,뚱가통닭,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467664,도모,부산광역시 수영구,N,N,N,N,Y,N,,"평일 16:00~22:00, 주말 15:00~22:00",N,N,N,,,,광안리 해수욕장,35.1537687,129.118499,309.308201,N,N,N,,,
467665,오늘족발(남천본점),부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467666,푸라닭(부산광안점),부산광역시 수영구,N,N,N,N,Y,N,,매일 12:00~24:00,N,N,N,전화예약,,"http://www.puradakchicken.com/,http://blog.naver.com/puradak2014,http://www.instagram.com/puradak_official,http://www.facebook.com/puradak",,,,,N,N,N,,,
467667,동대문엽기떡볶이(광안리점),부산광역시 수영구,N,N,N,N,N,N,,매일 11:00~23:00,N,N,Y,,,,광안리 해수욕장,35.1537687,129.118499,127.641298,N,N,N,,,
467668,진국설렁탕(남천점),부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467669,피너츠,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467670,우성묵은지삼겹살,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,광안리 해수욕장,35.1537687,129.118499,644.313048,N,N,N,,,
467671,낭만포차,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467672,바다의왕자 마린보이,부산광역시 수영구,N,N,N,N,N,N,,,N,N,Y,,,,수영사적공원,35.170842,129.114398,533.910934,N,N,N,,,
467675,포차9번길,부산광역시 수영구,N,N,N,N,N,N,,매일 17:00~01:00,N,N,N,,,,,,,,N,N,N,,,
467676,장수쌈밥,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467677,본정,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467678,고혹(수영점),부산광역시 수영구,Y,N,N,N,Y,Y,일요일,매일 16:00~00:00,N,Y,N,전화예약,,,수영사적공원,35.170842,129.114398,615.885435,N,N,N,,,
467680,베이커리카페 네모,부산광역시 수영구,Y,Y,N,N,N,Y,,"평일 11:00~19:00, 토요일 11:00~17:00",N,N,N,전화예약,,http://instagram.com/nemo7528934,수영사적공원,35.170842,129.114398,516.811658,N,Y,Y,,,
467681,모노,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,광안리 해수욕장,35.1537687,129.118499,166.09329,N,N,N,,,
467682,봉구스밥버거(광안점),부산광역시 수영구,N,N,N,N,N,N,화요일,"평일 12:00~20:00, 주말 09:00~20:00",N,N,N,전화예약,,http://www.bongousse.net,,,,,N,N,N,,,
467683,민족짜글이(수영광안점),부산광역시 수영구,N,N,N,N,N,N,연중무휴,매일 07:00~02:00,N,N,N,,,,수영사적공원,35.170842,129.114398,620.259752,N,N,N,,,
467684,골목포차(2호점),부산광역시 수영구,N,N,N,N,N,N,,매일 17:00~01:00,N,N,N,,,,,,,,N,N,N,,,
467685,대성오리불고기,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467686,땡긴다면 국시랑돈까스,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467687,도쿄뱃살,부산광역시 수영구,N,Y,N,Y,Y,Y,,매일 18:00~03:00,N,N,Y,전화예약,,https://tokyobaetsal.modoo.at,광안리 해수욕장,35.1537687,129.118499,257.756907,N,Y,Y,18,,
467688,장어가,부산광역시 수영구,Y,Y,N,N,Y,Y,,,N,N,N,전화예약,,http://blog.naver.com/sarang6136,광안리 해수욕장,35.1537687,129.118499,692.251287,N,N,N,,,
467690,명륜진사갈비(부산남천점),부산광역시 수영구,Y,Y,N,N,Y,Y,,매일 12:00~22:00,N,N,N,전화예약,,,,,,,N,N,N,,,
467694,귀가원,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467695,에이치큐 광안,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,"https://m.facebook.com/hq.bar.5/,https://instagram.com/hqbar_busan?utm_medium=copy_link",,,,,N,N,N,,,
467696,돈비치관광호텔(올리브)레스토랑,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467697,수변대패삼겹살,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,민락수변공원,35.1582645,129.131484,73.485263,N,N,N,,,
467698,DELLADE(델라디),부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
