식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
545124,복고다방(충장로점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
545352,통닭꼬치GO,광주광역시 동구,N,N,N,N,Y,N,,매일 17:00~01:00,N,N,Y,,,https://dbelddk.modoo.at,인당국악사,35.1453096,126.9215580,663.2351480,N,N,N,,,옛날통닭
545472,이디야커피(광주충파점),광주광역시 동구,N,N,N,N,Y,N,,매일 09:00~22:50,N,N,N,,,"http://www.ediya.com/,http://instagram.com/ediya.coffee",문화전당역(구도청),35.1464409,126.9198890,571.2021550,N,Y,Y,,,달고나 라떼
545555,경양카츠(광주점),광주광역시 동구,N,N,N,N,Y,N,,,N,N,Y,,,,문화전당역(구도청),35.1464409,126.9198890,512.5678000,N,N,N,,,경양 어묵우동
545708,프리덴,광주광역시 동구,Y,Y,N,N,Y,Y,일요일,매일 11:30~20:30,N,N,N,전화예약,,http://frieden.modoo.at/,,,,,N,N,N,,,생태탕
545911,고급진먹거리,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
545927,가비,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
546727,백철판0410(광주충장로점),광주광역시 동구,N,N,N,N,Y,N,,매일 10:00~22:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,446.5760530,N,N,N,,,치즈 매운 철판 닭갈비
546937,꼬순이네생삼겹,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
546942,더벤티(조선대점),광주광역시 동구,N,Y,N,N,Y,N,,"평일 09:00~22:00, 주말 10:00~22:00",N,N,N,,,"http://theventi.co.kr/,https://www.facebook.com/theventikr,https://www.instagram.com/theventi/",,,,,N,N,N,,,아메리카노
